1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,1,1,1,0.333333333333333,0,1,2,1,1,1,1,1,0,1,0
1,0,1,1,1,1.83333333333333,0,0.666666666666667,0.666666666666667,0,0,0,1,1,2,0,0
1,1,0,1,1,2,1.5,0.8,1.6,1,0.75,0.071428571428571,0,0.4,2,0.4,0
1,1,1,0,1,0.428571428571429,1,2,0.25,1,1,2,1,1,0,0,1
1,1,1,1,0,0.75,1,1.5,0.5,1,0,2,1,1,1,0,1
0.333333333333333,1.83333333333333,2,0.428571428571429,0.75,0,1,1,1,1,1,1,1,1,1,1,1
0,0,1.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,0.666666666666667,0.8,2,1.5,1,1,0,1,1,1,1,1,1,1,1,1
2,0.666666666666667,1.6,0.25,0.5,1,1,1,0,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,0,0.75,1,0,1,1,1,1,1,0,1,1,1,1,1,1
1,0,0.071428571428571,2,2,1,1,1,1,1,1,0,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,1,0.4,1,1,1,1,1,1,1,1,1,1,0,1,1,1
0,2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
1,0,0.4,0,0,1,1,1,1,1,1,1,1,1,1,0,1
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
