1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,1,1,1,0.30,0.10,0.30,0.10,0.00,0.00,0.10,0.00,0.00,0.10,0.00,0.10
1,0,1,1,1,0.26,0.04,0.13,0.13,0.09,0.04,0.04,0.00,0.00,0.04,0.13,0.09
1,1,0,1,1,0.06,0.04,0.10,0.10,0.04,0.08,0.27,0.04,0.10,0.06,0.10,0.02
1,1,1,0,1,0.28,0.00,0.12,0.32,0.00,0.00,0.16,0.00,0.00,0.04,0.08,0.00
1,1,1,1,0,0.29,0.00,0.14,0.14,0.00,0.07,0.29,0.00,0.00,0.00,0.07,0.00
0.3,0.260869565217391,0.058823529411765,0.28,0.285714285714286,0,1,1,1,1,1,1,1,1,1,1,1
0.1,0.043478260869565,0.03921568627451,0,0,1,0,1,1,1,1,1,1,1,1,1,1
0.3,0.130434782608696,0.098039215686275,0.12,0.142857142857143,1,1,0,1,1,1,1,1,1,1,1,1
0.1,0.130434782608696,0.098039215686275,0.32,0.142857142857143,1,1,1,0,1,1,1,1,1,1,1,1
0,0.086956521739131,0.03921568627451,0,0,1,1,1,1,0,1,1,1,1,1,1,1
0,0.043478260869565,0.07843137254902,0,0.071428571428572,1,1,1,1,1,0,1,1,1,1,1,1
0.1,0.043478260869565,0.274509803921569,0.16,0.285714285714286,1,1,1,1,1,1,0,1,1,1,1,1
0,0,0.03921568627451,0,0,1,1,1,1,1,1,1,0,1,1,1,1
0,0,0.098039215686275,0,0,1,1,1,1,1,1,1,1,0,1,1,1
0.1,0.043478260869565,0.058823529411765,0.04,0,1,1,1,1,1,1,1,1,1,0,1,1
0,0.130434782608696,0.098039215686275,0.08,0.071428571428572,1,1,1,1,1,1,1,1,1,1,0,1
0.1,0.086956521739131,0.019607843137255,0,0,1,1,1,1,1,1,1,1,1,1,1,0
